hospital_name,province_name,number_of_posts_available
Addington Hospital,KZN,3
Boitumelo Hospital,FS,2
Bongani Hospital,FS,3
Charlotte Maxeke Hospital,GP,1
Chris Hani Baragwanath Hospital,GP,2
Cofimvaba Hospital,EC,3
Dihlabeng Hospital,FS,3
Dr George Mukhari Hospital,GP,4
Edenvale Hospital,GP,2
Elim Hospital,LP,3
Ermelo Hospital,MP,4
Far East Rand Hospital,GP,3
Frere Hospital,EC,2
General Justice Gizenga Mpanza Hospital,KZN,3
George Hospital,WC,3
Grey's Hospital,KZN,2
Groote Schuur Hospital,WC,1
Helderberg Hospital,WC,2
Helen Joseph Hospital,GP,3
Job Shimankana Tabane Hospital,NW,2
Robert Mangaliso Sobukwe Hospital,NC,1
